Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-12-16 19:30:45,2018-12-16 19:30:57,11.952s,PASSED
,,,,,,
Test Cases/Caclulator/Addition,,,2018-12-16 19:30:45,2018-12-16 19:30:51,5.200s,PASSED
"sendRequest(findTestObject(""CalculatorSoapService/Addition""))",,,2018-12-16 19:30:46,2018-12-16 19:30:49,3.122s,PASSED
"response = sendRequestAndVerify(findTestObject(""CalculatorSoapService/Addition""))",,,2018-12-16 19:30:49,2018-12-16 19:30:51,1.589s,PASSED
"verifyElementPropertyValue(response, ""AddResonse.AddResult"", 6)",,,2018-12-16 19:30:51,2018-12-16 19:30:51,0.031s,PASSED
,,,,,,
Test Cases/GetBankDetails,,,2018-12-16 19:30:51,2018-12-16 19:30:52,1.426s,PASSED
"sendRequest(findTestObject(""SOAP/getBank""))",,,2018-12-16 19:30:51,2018-12-16 19:30:52,1.279s,PASSED
,,,,,,
Test Cases/HttpMethods,,,2018-12-16 19:30:52,2018-12-16 19:30:56,3.636s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestService/ListUsers""))",,,2018-12-16 19:30:52,2018-12-16 19:30:54,1.954s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestService/CreateUser""))",,,2018-12-16 19:30:54,2018-12-16 19:30:55,0.516s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestService/UpdateUser""))",,,2018-12-16 19:30:55,2018-12-16 19:30:55,0.501s,PASSED
"sendRequestAndVerify(findTestObject(""UserRestService/DeleteUser""))",,,2018-12-16 19:30:55,2018-12-16 19:30:56,0.485s,PASSED
,,,,,,
Test Cases/ListUsersTest,,,2018-12-16 19:30:56,2018-12-16 19:30:57,1.326s,PASSED
"sendRequest(findTestObject(""UserRestService/ListUsers""))",,,2018-12-16 19:30:56,2018-12-16 19:30:56,0.629s,PASSED
"response = sendRequestAndVerify(findTestObject(""UserRestService/ListUsers""))",,,2018-12-16 19:30:56,2018-12-16 19:30:57,0.490s,PASSED
"verifyElementPropertyValue(response, ""data[1].first_name"", ""Charles"")",,,2018-12-16 19:30:57,2018-12-16 19:30:57,0.026s,PASSED
"verifyElementPropertyValue(response, ""data[2].id"", ""6"")",,,2018-12-16 19:30:57,2018-12-16 19:30:57,0.016s,PASSED
"verifyElementsCount(response, ""data"", 3)",,,2018-12-16 19:30:57,2018-12-16 19:30:57,0.023s,PASSED
"verifyResponseStatusCodeInRange(response, 100, 200)",,,2018-12-16 19:30:57,2018-12-16 19:30:57,0.012s,PASSED
